iter	Passed	Remaining
0	1	122
1	3	165
2	4	146
3	5	131
4	6	124
5	7	120
6	8	118
7	10	115
8	11	112
9	12	112
10	13	111
11	14	109
12	16	107
13	17	107
14	18	107
15	20	105
16	21	105
17	22	104
18	24	102
19	25	100
20	26	98
21	27	97
22	28	95
23	29	93
24	30	92
25	32	91
26	33	91
27	34	89
28	35	87
29	37	86
30	38	85
31	39	84
32	40	82
33	42	81
34	43	80
35	44	79
36	45	78
37	47	77
38	48	75
39	49	74
40	51	73
41	51	71
42	53	70
43	54	68
44	55	67
45	56	66
46	58	65
47	59	64
48	61	63
49	62	62
50	63	61
51	65	60
52	66	58
53	67	57
54	68	56
55	69	54
56	70	53
57	72	52
58	73	51
59	74	49
60	76	48
61	77	47
62	79	46
63	80	45
64	81	43
65	82	42
66	84	41
67	85	40
68	86	38
69	87	37
70	89	36
71	91	35
72	92	34
73	93	32
74	94	31
75	95	30
76	97	29
77	98	27
78	100	26
79	101	25
80	102	24
81	104	22
82	105	21
83	106	20
84	108	19
85	109	17
86	110	16
87	112	15
88	113	14
89	115	12
90	116	11
91	118	10
92	119	8
93	120	7
94	121	6
95	123	5
96	124	3
97	125	2
98	126	1
99	128	0
