iter	Passed	Remaining
0	140	140564
1	143	71674
2	146	48629
3	148	36905
4	150	29857
5	151	25117
6	153	21781
7	154	19218
8	156	17209
9	158	15668
10	159	14327
11	160	13211
12	161	12263
13	162	11439
14	163	10724
15	164	10098
16	165	9543
17	166	9057
18	166	8616
19	167	8222
20	168	7860
21	169	7540
22	170	7253
23	172	6999
24	173	6765
25	174	6544
26	175	6335
27	176	6138
28	178	5960
29	178	5783
30	179	5619
31	180	5468
32	181	5322
33	182	5187
34	183	5061
35	184	4942
36	185	4831
37	186	4724
38	187	4620
39	188	4526
40	189	4433
41	190	4344
42	191	4259
43	192	4177
44	193	4100
45	194	4030
46	195	3957
47	196	3890
48	197	3827
49	198	3765
50	199	3711
51	200	3652
52	201	3593
53	202	3540
54	202	3487
55	203	3435
56	204	3385
57	205	3336
58	206	3289
59	207	3244
60	207	3200
61	208	3156
62	209	3114
63	210	3074
64	211	3035
65	211	2997
66	212	2962
67	213	2931
68	214	2900
69	215	2866
70	216	2833
71	217	2800
72	218	2769
73	218	2739
74	219	2707
75	220	2679
76	221	2651
77	221	2623
78	222	2595
79	223	2569
80	224	2542
81	224	2516
82	225	2488
83	225	2463
84	226	2440
85	227	2421
86	228	2400
87	229	2378
88	230	2357
89	231	2338
90	232	2319
91	232	2298
92	233	2277
93	234	2257
94	234	2237
95	235	2218
96	236	2199
97	236	2180
98	237	2162
99	238	2144
100	239	2127
101	239	2110
102	240	2093
103	241	2079
104	242	2065
105	242	2049
106	243	2033
107	244	2018
108	245	2002
109	245	1987
110	246	1973
111	247	1958
112	247	1944
113	248	1930
114	249	1916
115	249	1903
116	250	1888
117	250	1875
118	251	1863
119	252	1851
120	253	1838
121	253	1825
122	254	1813
123	255	1802
124	256	1792
125	256	1782
126	257	1770
127	258	1759
128	259	1748
129	259	1737
130	260	1726
131	260	1716
132	261	1705
133	262	1694
134	262	1684
135	263	1674
136	264	1665
137	265	1655
138	265	1645
139	266	1636
140	267	1626
141	267	1616
142	268	1607
143	268	1598
144	269	1589
145	270	1582
146	271	1574
147	272	1566
148	272	1558
149	273	1549
150	274	1541
151	274	1533
152	275	1524
153	276	1516
154	276	1508
155	277	1501
156	278	1493
157	278	1485
158	279	1478
159	280	1470
160	280	1462
161	281	1455
162	281	1447
163	282	1440
164	283	1434
165	284	1428
166	285	1422
167	286	1416
168	286	1409
169	287	1403
170	288	1396
171	288	1389
172	289	1383
173	290	1376
174	290	1370
175	291	1364
176	292	1358
177	292	1352
178	293	1346
179	294	1340
180	294	1334
181	295	1328
182	296	1322
183	296	1316
184	297	1310
185	298	1305
186	299	1301
187	300	1296
188	300	1290
189	301	1285
190	302	1279
191	302	1274
192	303	1268
193	304	1263
194	304	1257
195	305	1252
196	306	1247
197	306	1242
198	307	1237
199	308	1232
200	308	1227
201	309	1222
202	310	1217
203	310	1212
204	311	1207
205	312	1203
206	313	1200
207	314	1197
208	315	1193
209	316	1189
210	316	1184
211	317	1180
212	318	1176
213	319	1171
214	319	1167
215	320	1162
216	321	1158
217	321	1154
218	322	1149
219	323	1145
220	323	1141
221	324	1136
222	325	1132
223	325	1128
224	326	1124
225	327	1120
226	328	1117
227	328	1113
228	329	1110
229	330	1105
230	331	1101
231	331	1098
232	332	1094
233	333	1090
234	333	1086
235	334	1082
236	335	1078
237	335	1074
238	336	1071
239	337	1067
240	337	1063
241	338	1060
242	339	1056
243	339	1053
244	340	1049
245	341	1045
246	342	1043
247	342	1039
248	343	1036
249	344	1033
250	345	1029
251	345	1026
252	346	1022
253	347	1019
254	347	1015
255	348	1012
256	348	1008
257	349	1005
258	350	1002
259	350	998
260	351	995
261	352	992
262	352	989
263	353	985
264	354	982
265	355	979
266	355	976
267	356	974
268	357	971
269	358	968
270	358	965
271	359	963
272	360	960
273	361	958
274	362	956
275	363	953
276	364	951
277	365	949
278	366	948
279	368	946
280	369	944
281	370	943
282	371	942
283	372	940
284	373	938
285	375	936
